dataset_id,dataset_alias,method,method_label,accuracy,macro_f1,auc,log_loss,brier,ece,training_seconds,inference_seconds
3,kr-vs-kp,ban,BAN,0.95875,0.9586661237203952,0.9908105568990413,0.13172165541890207,0.06986847597964589,0.03274097443293126,0.07495845439843833,0.11083591980859638
3,kr-vs-kp,catboost,CatBoost,0.9941666666666666,0.9941537534818782,0.9994676316567791,0.02081865893765787,0.00976079842715273,0.004916680366759663,2.5465246002189814,0.017975105345249175
3,kr-vs-kp,chow_liu,Chow-Liu,0.9079166666666666,0.906627041811974,0.9319020859792273,0.33846007899247604,0.2026225231441324,0.13396408051522257,0.6861751894000918,0.08628451060503721
3,kr-vs-kp,dbnc,DBNC,0.9845833333333334,0.9845426647961546,0.9979853511717323,0.049592227369744835,0.02601726033366496,0.011326239447013036,11.53001353503205,0.006907213665544987
3,kr-vs-kp,ft_transformer,FT-Transformer,0.9875,0.9874725596033738,0.9985003218566781,0.034729235972158365,0.0171987688889189,0.008257672157527101,9.579002722166479,0.007061214791610837
3,kr-vs-kp,kdb_1,KDB-1,0.9420833333333334,0.9419997555578318,0.985010177630091,0.16704290773926872,0.09421562106236557,0.03867715233139512,0.06448539635166525,0.10594399394467473
3,kr-vs-kp,kdb_2,KDB-2,0.95875,0.9586661237203952,0.9908105568990413,0.13172165541890207,0.06986847597964589,0.03274097443293126,0.07473385320045053,0.11167104383930564
3,kr-vs-kp,kdb_3,KDB-3,0.9554166666666667,0.955284509437579,0.9927834513474487,0.11630603772067867,0.06165475654596577,0.020701346640866293,0.08395191892050206,0.114379737759009
3,kr-vs-kp,lightgbm,LightGBM,0.9920833333333334,0.9920651449360454,0.9995737573722577,0.030093210962700113,0.013158679352559221,0.014090768469975073,0.3061021405737847,0.05207240558229387
3,kr-vs-kp,nb,NB,0.8612500000000001,0.8607007062880216,0.9470067328937525,0.299250246310445,0.19134651063003036,0.045585854550929575,0.05344388480298221,0.09857932715676725
3,kr-vs-kp,tan,TAN,0.9225,0.9224696658017052,0.9803824005288888,0.1988046968547092,0.11328117945288414,0.03414139365235699,0.06483467742800712,0.10657240441069007
3,kr-vs-kp,xgboost,XGBoost,0.9916666666666668,0.9916492484877611,0.9995024269733295,0.030187666223575604,0.013347284379795581,0.01214500006591061,0.17829309864901005,0.025241494784131645
6,letter,ban,BAN,0.8808666666666667,0.8806827597580977,0.9958547749550124,0.4788522611755296,0.17912385702456107,0.05688611454286295,0.21467379569076,3.606061126757413
6,letter,catboost,CatBoost,0.9603999999999999,0.9602613804215512,0.9996634181766121,0.14189043046272315,0.06275923950249053,0.0379349754702301,35.92679242775775,0.00945573216304183
6,letter,chow_liu,Chow-Liu,0.7132666666666667,0.714167747086167,0.9753914481235999,1.1957510442892922,0.40405029277359183,0.09547967511399799,0.4113838676828891,3.013511551171541
6,letter,dbnc,DBNC,0.9170666666666666,0.9168423583964154,0.998122322996435,0.27011085933219364,0.11932649253009724,0.011681533439394728,149.6681903711986,0.14522707774303853
6,letter,ft_transformer,FT-Transformer,0.9668666666666667,0.9668041225408934,0.9997061144481533,0.10550306598705547,0.05007172151115609,0.011904137029625141,83.32428302322515,0.037225074926391245
6,letter,kdb_1,KDB-1,0.8457333333333332,0.8457359548675463,0.9938682709360107,0.6276853291618858,0.23138576553716103,0.07301806582969084,0.179269482800737,3.464021709794179
6,letter,kdb_2,KDB-2,0.8808666666666667,0.8806827597580977,0.9958547749550124,0.4788522611755296,0.17912385702456107,0.05688611454286295,0.2173475102055818,3.596556843724102
6,letter,kdb_3,KDB-3,0.8827999999999999,0.8826140560446408,0.9954079350617233,0.4637704497608275,0.17256405738219915,0.04609943505559509,0.25205523716285827,3.730341563001275
6,letter,lightgbm,LightGBM,0.9698666666666667,0.9697783966389277,0.9997531075207409,0.10784157112834933,0.047570009425165094,0.016152098731168713,10.598298711981624,2.736022463394329
6,letter,nb,NB,0.7041333333333333,0.704513511018313,0.9745641819296329,1.2831539819036333,0.42081344879004295,0.1102558414668667,0.14716852600686253,3.261463477741927
6,letter,tan,TAN,0.8467333333333334,0.8469041499847079,0.9941646673920423,0.6543311818117792,0.2315841725156716,0.07805613679488307,0.18480233899317683,3.4708826170302927
6,letter,xgboost,XGBoost,0.9614666666666667,0.961355582689898,0.9996496790173648,0.12130359158644785,0.05706885702420422,0.01114511922793075,8.252108188392594,0.29621944613754747
15,breast-w,ban,BAN,0.96,0.9561066228320808,0.9882447665056361,0.14002939382982976,0.06505997160168632,0.03696197853721985,0.004592873016372323,0.006573628587648273
15,breast-w,catboost,CatBoost,0.9733333333333333,0.9709126773832656,0.9917874396135267,0.09215931817488945,0.04974295705805458,0.040997971505823294,0.1327133873477578,0.0006957038305699826
15,breast-w,chow_liu,Chow-Liu,0.9466666666666667,0.9408933908495032,0.9873993558776167,0.1543457636234227,0.07780768455419387,0.04322353305824571,0.03775181658565998,0.005658282851800323
15,breast-w,dbnc,DBNC,0.9657142857142856,0.9624061013983229,0.9896940418679548,0.11162960959304558,0.05534664413657383,0.03273405090472179,1.448526325589046,0.002811346994712949
15,breast-w,ft_transformer,FT-Transformer,0.9676190476190476,0.9646214522570355,0.9916264090177134,0.09978487425700575,0.05203326859464471,0.03428894818166402,1.557481288164854,0.0021799827460199594
15,breast-w,kdb_1,KDB-1,0.9638095238095238,0.9601435378312596,0.9862318840579711,0.22129078845337063,0.06714051424964039,0.0357315724991137,0.003996211336925626,0.006112805148586631
15,breast-w,kdb_2,KDB-2,0.96,0.9561066228320808,0.9882447665056361,0.14002939382982976,0.06505997160168632,0.03696197853721985,0.00457625319249928,0.006335838511586189
15,breast-w,kdb_3,KDB-3,0.9428571428571428,0.9365754078821741,0.9818840579710144,0.17357687918962011,0.08470382126633764,0.04767260971726271,0.00501393754966557,0.006585481250658632
15,breast-w,lightgbm,LightGBM,0.9619047619047618,0.9581053062165603,0.9916264090177134,0.15650305843768328,0.06038855622492152,0.036208499673113445,0.03740104623138905,0.0022304526064544916
15,breast-w,nb,NB,0.9676190476190476,0.9644350151630305,0.9896940418679548,0.20703318628817816,0.057599886787931695,0.03269744072387261,0.003420069348067045,0.00590575416572392
15,breast-w,tan,TAN,0.9695238095238095,0.9666633849186477,0.9894524959742352,0.12214221071547318,0.05570901200089058,0.035435498515770006,0.00392267326824367,0.00606761290691793
